specification,gamma,n,nodes,edges,possible_edges,density
primary_15,0.25,995,15,102,105,0.971428571428571
primary_15,0.5,995,15,94,105,0.895238095238095
bridge_10,0.25,997,11,55,55,1
bridge_10,0.5,997,11,53,55,0.963636363636364
bridge_9,0.25,1000,9,36,36,1
bridge_9,0.5,1000,9,36,36,1
bridge_8,0.25,1002,8,28,28,1
bridge_8,0.5,1002,8,28,28,1
