model_id,invariance_level,converged,chisq,df,pvalue,cfi,tli,rmsea,srmr,aic,bic
satisfaction_q24,configural,TRUE,4878.222446758119,112,0,0.7164091267924175,0.5746136901886263,0.23639766834149462,0.12280630397877997,108792.29736901131,109920.37229696584
satisfaction_q24,metric,TRUE,5102.820620143744,154,0,0.7055445110479801,0.6787758302341602,0.20542606248126305,0.13140743013393136,108932.89554239695,109778.95173836284
satisfaction_q24,scalar,TRUE,6143.9725040484,196,0,0.6460948402890647,0.6966527202477698,0.19962801417813333,0.14458820630269403,109890.0474263016,110454.08489027886
