statistic,value,n_used,sampled_for_computational_feasibility
n.obs,2000,2000,TRUE
n.var,30,2000,TRUE
b1p,39.204623375472195,2000,TRUE
b2p,1154.2204933681526,2000,TRUE
skew,13068.207791824067,2000,TRUE
small.skew,13089.076155275141,2000,TRUE
p.skew,0,2000,TRUE
p.small,0,2000,TRUE
kurtosis,99.11273048824542,2000,TRUE
p.kurt,0,2000,TRUE
