estimator,n,p,density,global_strength,nonzero_edges,country
mgm_lasso_ebic,450,21,0.07142857142857142,7.241913043557994,15,PT
mgm_lasso_ebic,423,21,0.08571428571428572,45.5924493124547,18,PL
mgm_lasso_ebic,451,21,0.09523809523809525,37.802838049136376,20,HU
mgm_lasso_ebic,727,21,0.12857142857142856,27.0356480101569,27,IS
mgm_lasso_ebic,668,21,0.13333333333333333,17.189763636371335,28,CZ
mgm_lasso_ebic,843,21,0.17142857142857143,36.048698632155585,36,BE
mgm_lasso_ebic,698,21,0.18571428571428572,74.19622164139055,39,FR
mgm_lasso_ebic,928,21,0.20952380952380953,30.6633192492316,44,GB
mgm_lasso_ebic,685,21,0.21904761904761905,83.96194520908811,46,AT
mgm_lasso_ebic,836,21,0.23333333333333336,51.07099948214305,49,SI
mgm_lasso_ebic,1132,21,0.24761904761904763,56.53465659780339,52,FI
