k,gap,se_sim,log_wss
1,-0.022597145528655105,0.07071762827167147,3.3369019025560047
2,-0.08611949337037705,0.07677735172844735,3.101770484005548
3,-0.13242723945431534,0.07523241489329396,2.905143849932362
4,-0.12388083623493307,0.0754703043552689,2.674132534905727
5,-0.09499919466317541,0.07758923865508326,2.414824204373074
6,-0.07149752407253329,0.08405500338689566,2.1392172903956244
