node,predictability,measure
Local air-pollution concern,NA,NA
Public-transport use,NA,NA
Energy-efficient appliance choice,NA,NA
Climate-change worry,NA,NA
Personal responsibility to reduce climate change,NA,NA
Worry about local extreme weather,NA,NA
Experienced severe flooding,NA,NA
Experienced drought,NA,NA
Experienced wildfire,NA,NA
Experienced heavy storm,NA,NA
Experienced extended extreme heat,NA,NA
Trust in government to address climate change,NA,NA
Government preparedness for extreme weather,NA,NA
Environment versus economic-growth priority,NA,NA
Familiarity with national climate policies,NA,NA
Confidence policies consider everyone views,NA,NA
Confidence in fair climate-policy outcomes,NA,NA
Concern about ability to pay energy bills,NA,NA
Concern about increased transport costs,NA,NA
Concern about future job loss,NA,NA
Participated in an environmental-protection organisation,NA,NA
