country,kmeans,hierarchical,pam,clara
FI,2,1,1,1
GB,2,1,1,1
BE,2,1,1,1
SI,2,1,1,1
IS,2,1,1,1
FR,1,1,1,1
AT,1,2,2,2
CZ,2,1,1,1
HU,2,1,1,1
PT,2,1,1,1
PL,1,2,1,1
