model_id,invariance_level,converged,chisq,df,pvalue,cfi,tli,rmsea,srmr,aic,bic
populist_attitudes_study2,configural,TRUE,1221.4115790721667,56,0,0.603151182346393,0.4047267735195895,0.20250121232920623,0.12252030166027542,48494.76028596639,48966.486736017396
populist_attitudes_study2,metric,TRUE,1388.4431411869211,74,0,0.5524025882184741,0.49191645149124086,0.18708416035704814,0.1352300089588733,48625.79184808115,48996.43405883551
populist_attitudes_study2,scalar,TRUE,1904.116689305145,92,0,0.38293356740658924,0.4365915180668859,0.19700676658592559,0.18635144223079023,49105.46539619936,49375.02336765708
