statistic,value,n_used,sampled_for_computational_feasibility
n.obs,2030,2030,FALSE
n.var,29,2030,FALSE
b1p,35.827261535023254,2030,FALSE
b2p,1008.6450807467977,2030,FALSE
skew,12121.556819349535,2030,FALSE
small.skew,12140.665985910833,2030,FALSE
p.skew,0,2030,FALSE
p.small,0,2030,FALSE
kurtosis,58.25219991824016,2030,FALSE
p.kurt,0,2030,FALSE
